MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty CPSE,      5030.60,      4963.05,      5001.30,      4863.75,      4980.65,0,0,Y, ,0,      5118.45,      2719.20
Y,Nifty GrowSect 15,     10976.60,     10964.85,     10983.30,     10835.60,     10967.90,0,0,Y, ,0,     11101.45,      8343.45
Y,Nifty50 PR 2x Lev,     11662.20,     11489.40,     11624.45,     11351.30,     11541.35,0,0,Y, ,0,     12274.30,      7558.50
Y,Nifty50 PR 1x Inv,       221.95,       223.65,       224.95,       222.35,       223.15,0,0,Y, ,0,       271.10,       216.50
Y,Nifty50 TR 2x Lev,     16628.50,     16382.10,     16574.65,     16185.15,     16456.20,0,0,Y, ,0,     17501.30,     10571.85
Y,Nifty50 TR 1x Inv,       186.10,       187.50,       188.60,       186.40,       187.05,0,0,Y, ,0,       229.40,       181.50
Y,Nifty50 Value 20,     11767.10,     11732.80,     11772.30,     11605.70,     11748.45,0,0,Y, ,0,     11979.45,      8951.65
Y,Nifty Mid Liq 15,     10948.50,     10936.70,     11044.90,     10664.00,     11002.25,0,0,Y, ,0,     11264.35,      7039.85
Y,Nifty Pvt Bank,     23798.35,     23508.30,     23877.15,     23487.80,     23603.00,0,0,Y, ,0,     25009.90,     19592.90
Y,NIFTY100 Qualty30,      5033.40,      5008.40,      5016.30,      4914.50,      4980.50,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 8 13Yr,      2532.89,      2533.38,      2533.38,      2532.14,      2532.21,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 10Yr,      2242.65,      2243.08,      2243.08,      2241.22,      2241.77,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 10Yr Cln,       871.14,       871.14,       871.14,       870.40,       870.62,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 4 8Yr,      2758.35,      2758.89,      2758.89,      2758.06,      2758.32,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 11 15Yr,      2777.50,      2778.05,      2778.05,      2775.57,      2776.13,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 15YrPlus,      3029.53,      3030.15,      3030.15,      3026.19,      3026.51,0,0,Y, ,0,          .00,          .00
Y,Nifty GS Compsite,      2615.19,      2615.70,      2615.70,      2614.11,      2614.35,0,0,Y, ,0,          .00,          .00
Y,NIFTY HEALTHCARE,     10858.25,     10839.00,     10966.05,     10640.60,     10926.30,0,0,Y, ,0,     11101.60,      6482.80
Y,NIFTY CONSR DURBL,     32252.45,     32099.15,     32185.10,     31503.60,     31703.50,0,0,Y, ,0,     32590.20,     14089.55
Y,NIFTY OIL AND GAS,     10128.90,     10077.80,     10206.50,      9943.95,     10189.40,0,0,Y, ,0,     10323.30,      4632.70
Y,NIFTY500 MULTICAP,     13468.40,     13417.65,     13468.85,     13200.85,     13433.90,0,0,Y, ,0,     13749.15,      5531.55
Y,NIFTY LARGEMID250,     13454.55,     13401.05,     13445.70,     13184.15,     13419.75,0,0,Y, ,0,     13736.85,      5635.20
Y,NIFTY MID SELECT,     10431.00,     10419.65,     10497.05,     10176.70,     10449.90,0,0,Y, ,0,     10669.50,      5520.25
Y,NIFTY TOTAL MKT,     10958.05,     10904.30,     10949.90,     10761.40,     10919.95,0,0,Y, ,0,     11201.70,      6252.10
Y,NIFTY MICROCAP250,     19443.35,     19443.60,     19571.60,     18939.80,     19510.50,0,0,Y, ,0,     19858.40,      5802.95
Y,NIFTY IND DIGITAL,      7536.60,      7509.85,      7527.90,      7347.10,      7515.85,0,0,Y, ,0,      7732.50,      4755.25
 , , , , , , , , ,Y, , , , , , 
 , , , , , , , , ,Y, , , , , , 
 ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,ADANI ENTERPRISES LIMITED,      2971.05,      2975.55,      2985.00,      2885.10,      2918.90,               7461140978.65,2552342,Y, ,137932,      3739.95,      1017.45
N,ADANI PORT & SEZ LTD,      1166.85,      1171.05,      1184.30,      1143.45,      1154.05,               6859750083.00,5918594,Y, ,146812,      1229.90,       395.10
N,APOLLO HOSPITALS ENTER. L,      5925.90,      5959.00,      6028.95,      5838.00,      5990.85,               3524242871.20,591170,Y, ,78006,      6028.95,      4123.00
N,ASIAN PAINTS LIMITED,      3242.30,      3257.95,      3257.95,      3048.60,      3163.85,               6229311861.10,1979174,Y, ,188313,      3568.00,      2685.85
N,AXIS BANK LIMITED,      1082.30,      1066.00,      1108.75,      1066.00,      1097.50,              12572042567.15,11473135,Y, ,264860,      1151.85,       814.30
N,BAJAJ AUTO LIMITED,      7165.95,      7148.00,      7189.25,      7071.15,      7083.60,               3959944151.85,557084,Y, ,97375,      7419.00,      3551.25
N,BAJAJ FINSERV LTD.,      1586.15,      1586.00,      1605.35,      1559.00,      1581.15,               1784994345.90,1133236,Y, ,96727,      1741.00,      1215.00
N,BAJAJ FINANCE LIMITED,      7358.85,      7296.00,      7351.75,      7234.00,      7265.55,              12283850683.60,1686996,Y, ,175621,      8192.00,      5485.70
N,BHARTI AIRTEL LIMITED,      1085.25,      1075.20,      1096.00,      1075.20,      1087.05,               4797225597.50,4407330,Y, ,224580,      1117.00,       735.80
N,BHARAT PETROLEUM CORP  LT,       471.65,       467.00,       480.90,       461.00,       473.20,               4692112216.00,9901151,Y, ,142259,       482.50,       314.05
N,BRITANNIA INDUSTRIES LTD,      5061.70,      5061.00,      5077.95,      4974.20,      5015.15,               2588210923.40,514119,Y, ,54631,      5386.05,      4153.00
N,CIPLA LTD,      1294.00,      1285.05,      1327.20,      1267.90,      1322.95,               2252183372.65,1723297,Y, ,101400,      1340.00,       852.00
N,COAL INDIA LTD,       379.65,       380.80,       382.55,       368.00,       375.65,               4695230658.70,12493835,Y, ,125801,       395.85,       207.60
N,DIVI S LABORATORIES LTD,      3728.80,      3728.80,      3756.55,      3585.00,      3700.20,               2390491061.90,651966,Y, ,77560,      4074.40,      2730.00
N,DR. REDDY S LABORATORIES,      5649.95,      5647.45,      5668.30,      5520.65,      5649.95,               1940723329.30,345527,Y, ,60353,      5989.70,      4175.10
N,EICHER MOTORS LTD,      3751.10,      3751.10,      3761.55,      3661.00,      3691.15,               2161611237.95,583931,Y, ,79649,      4200.00,      2836.00
