GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
L,SAMVRDHNA MTHRSN INTL LTD,       107.85,       108.10,-0.23
L,INTERGLOBE AVIATION LTD,      3052.60,      3058.75,-0.2
L,GLAND PHARMA LIMITED,      1950.25,      1953.90,-0.19
L,COLGATE PALMOLIVE LTD.,      2495.20,      2499.70,-0.18
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,ORACLE FIN SERV SOFT LTD.,      6545.50,      5086.20,28.69
G,MOS UTILITY LIMITED,       125.20,       104.35,19.98
G,SEC RE NCD SR 2,      1198.00,      1000.20,19.78
G,TARMAT LIMITED,       105.25,        91.30,15.28
G,INDO THAI SEC LTD,       335.85,       291.95,15.04
G,CAREER POINT LIMITED,       261.80,       229.45,14.1
G,AJMERA REALTY & INF I LTD,       573.90,       505.15,13.61
G,PAKKA LIMITED,       323.35,       287.00,12.67
G,SEC RE NCD SR. IV,      1135.00,      1010.00,12.38
G,PCBL LIMITED,       311.00,       278.80,11.55
G,SOBHA LIMITED,      1474.95,      1326.50,11.19
G,D K ENTERPRISES GLOBAL L,        81.00,        73.00,10.96
G,QUICK HEAL TECH LTD,       488.95,       440.75,10.94
G,AURUM PRO RS.1.25 PPD UP,       106.85,        96.40,10.84
G,INTEGRATED PERSO SER LTD,       184.10,       167.00,10.24
G,EIH ASSOCIATED HOTELS LTD,       584.15,       530.10,10.2
G,VERTOZ ADVERTISING LTD,       758.50,       689.55,10
G,RANE ENG VALVE LTD,       481.90,       438.10,10
G,CREST VENTURES LIMITED,       341.30,       310.30,9.99
G,TRIDENT TECHLABS LIMITED,       187.85,       170.80,9.98
G,SUPREME POWER EQUIPMENT L,       183.45,       166.80,9.98
G,ORIENT PRESS LIMITED,        88.70,        80.65,9.98
G,AGNI GREEN POWER LTD,        40.80,        37.10,9.97
G,AKANKSHA POWER N INFRA L,       121.95,       110.90,9.96
G,M K PROTEINS LIMITED,        47.00,        42.75,9.94
G,KCK INDUSTRIES LTD,        43.30,        39.40,9.9
G,ASIAN HOTELS (EAST) LTD,       169.85,       154.75,9.76
G,PRATAAP SNACKS LIMITED,      1363.50,      1243.15,9.68
G,KAMDHENU LIMITED,       508.90,       464.00,9.68
G,AMEYA PRECISION ENG LTD,        57.30,        52.30,9.56
 , , , , 
L,SEC RE NCD 10.05% SR.IV,       876.00,      1099.00,-20.29
L,SEC RE NCD 9.61% SR.VI,       799.00,      1000.00,-20.1
L,TATAAML-TATAGOLD,         6.20,         7.10,-12.68
L,TATAAML-TATSILV,         7.12,         8.08,-11.88
L,LTIMINDTREE LIMITED,      5603.00,      6275.60,-10.72
L,SANGHI INDUSTRIES LTD,       120.45,       133.60,-9.84
L,SEC RE NCD 11% SR.V,      1006.46,      1112.00,-9.49
L,SEC RED NCD 9.10% SR.VI,      1000.00,      1084.00,-7.75
L,SERENCD8.84%SRVICIII&IV,       851.00,       920.10,-7.51
L,INDIAN ENERGY EXC LTD,       137.20,       147.25,-6.83
L,ALOK INDUSTRIES LIMITED,        31.05,        33.10,-6.19
L,SEC RE NCD 9% SR.VI,       930.00,       987.40,-5.81
L,TRIDHYA TECH LIMITED,        33.75,        35.75,-5.59
L,SEC RE NCD 9.85% SR.VIII,       945.00,       999.00,-5.41
L,ITI LTD,       347.05,       366.65,-5.35
L,SHEETAL UNIVERSAL LIMITED,        76.70,        80.90,-5.19
L,SERENCD9.20%SRVIICIII&IV,       900.70,       950.00,-5.19
L,VEEKAYEM FASH & APP LTD,       150.10,       158.15,-5.09
L,KANDARP DG SMART BPO LTD,        19.00,        20.00,-5
L,SDL KA 7.68% 2037,        95.00,       100.00,-5
L,VELS FILM INTERNATIONAL L,        98.80,       104.00,-5
L,SDL PN 7.19% 2037,        95.00,       100.00,-5
L,LLOYDS LUXURIES LIMITED,        89.70,        94.40,-4.98
L,RELIABLE DATA SERVICE LTD,        75.85,        79.80,-4.95
L,SHREE OSFM E-MOBILITY LTD,        86.50,        91.00,-4.95
L,MEGA FLEX PLASTICS LTD,        40.40,        42.50,-4.94
L,SUNGARNER ENERGIES LTD,       236.00,       248.05,-4.86
L,HRH NEXT SERVICES LIMITED,        48.95,        51.40,-4.77
L,SMVD POLY PACK LIMITED,        12.00,        12.60,-4.76
L,BANNARI AMMAN SUGARS LTD,      2451.75,      2573.10,-4.72
