MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N5,NHAI,8.50% TAX FREE TR I S IIA,      1190.00,      1201.00,      1202.00,      1201.00,      1202.00,                    74493.00,62, ,2,      1373.50,      1081.10
N,N5,PFC,8.30% TAX FREE NCD,      1102.50,      1101.00,      1101.00,      1101.00,      1101.00,                     4404.00,4, ,1,      1179.90,      1054.00
N,N6,CHOLAFIN,SEC RE NCD 8.25% SR 1,      1020.00,      1024.90,      1024.90,      1024.90,      1024.90,                    27672.30,27, ,1,      1024.90,       987.10
N,N6,IIFL,UNSEC RED NCD 10.0% SR. V,      1033.45,      1030.00,      1033.40,      1030.00,      1031.99,                   209435.97,203, ,4,      1078.00,      1000.00
N,N6,IIHFL,UNSEC RE NCD 0% SR.III,      1135.00,      1135.00,      1135.00,      1135.00,      1135.00,                    12485.00,11, ,2,      1299.90,      1046.60
N,N6,IREDA,IREDA 8.80NCDTR I SR IIIB,      1385.78,      1385.78,      1385.78,      1349.99,      1349.99,                   117680.35,85, ,3,      1467.00,      1235.75
N,N6,NHAI,8.75% TAX FREE TR I S IIB,      1228.80,      1228.00,      1240.00,      1228.00,      1230.50,                   695052.90,565, ,16,      1268.00,      1150.00
N,N6,NHPC,8.92% SEC RED BOND S3B,      1320.56,      1325.00,      1325.00,      1325.00,      1325.00,                    29150.00,22, ,1,      1420.00,      1242.65
N,N6,NTPC,8.91%S-R-NCD SERIES 3B,      1270.00,      1265.00,      1269.90,      1263.60,      1263.88,                   399788.60,316, ,12,      1379.90,      1258.00
N,N6,TATACAP,SERENCD8.50%SR.IICIII&IV,      1029.89,      1031.89,      1031.89,      1030.00,      1030.00,                    72175.60,70, ,3,      1031.89,      1024.10
N,N6,TATACAPHSG,SEC RED NCD 8.30% SR.III,      1001.09,      1001.00,      1002.89,      1000.03,      1001.00,                   774847.96,774, ,23,      1160.00,       977.44
N,N7,CHOLAFIN,SEC RE NCD SR 2,      1000.20,      1200.24,      1200.24,      1198.00,      1198.00,                   118821.52,99, ,2,      1200.24,       900.00
N,N7,DHANILOANS,DHANI LOANS & SERV LTD,      1085.00,      1085.20,      1085.20,      1085.00,      1085.00,                   197475.00,182, ,3,      1099.99,       900.00
N,N7,IIHFL,SEC RE NCD 8.25% SR.I,       967.15,       978.55,       978.80,       978.55,       978.80,                   100811.65,103, ,2,      1040.00,       955.00
N,N7,IREDA,7.74% TAX FREE NCD,      1120.30,      1121.25,      1121.25,      1118.50,      1119.85,                   350597.55,313, ,12,      1199.70,      1115.00
N,N7,NAVIFIN,SEC RE NCD 10.50% SR.IV,      1020.00,      1005.00,      1006.00,      1005.00,      1005.31,                    65342.60,65, ,5,      1028.00,       989.00
N,N7,NTPC,8.49% SEC NON-CUM RED NCD,        10.71,        10.71,        10.74,        10.70,        10.72,                   245655.19,22919, ,335,        13.66,        10.00
N,N7,UGROCAP,SEC RED NCD 10.50% SR.III,      1001.00,      1006.50,      1007.00,      1006.50,      1007.00,                    50344.80,50, ,3,      1028.80,       955.10
N,N8,DHANILOANS,DHANI LOANS & SERV LTD,      1655.00,      1655.10,      1655.10,      1655.00,      1655.00,                  1828776.00,1105, ,7,      1670.00,      1426.82
N,N8,HUDCO,7.64% TAX FREETRI SR2B,      1124.16,      1124.99,      1124.99,      1124.99,      1124.99,                    57374.49,51, ,4,      1198.40,      1123.60
N,N8,IIHFL,SEC RE NCD 0% SR.II,      1139.25,      1125.20,      1135.00,      1125.20,      1135.00,                   396270.00,350, ,4,      1139.25,      1014.00
N,N8,NAVIFIN,SEC RE NCD 11.02% SR.V,      1023.00,      1025.00,      1039.80,      1025.00,      1036.80,                   129490.20,125, ,6,      1099.00,       995.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1096.00,      1090.00,      1090.10,      1090.00,      1090.05,                   926516.50,850, ,5,      1138.00,      1033.01
N,N8,PCHFL,SEC RE NCD 8.75% SR.IV,      1019.05,      1034.00,      1036.00,      1034.00,      1035.33,                   377895.60,365, ,5,      1155.55,       891.00
N,N8,PFC,8.92% TAX FREE NCD,      1288.00,      1288.00,      1288.00,      1282.00,      1285.00,                   231414.00,180, ,16,      1374.80,      1257.50
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1010.00,      1018.99,      1018.99,      1018.95,      1018.95,                   203794.00,200, ,2,      1069.90,       999.00
N,N9,IRFC,BOND 8.48% PA TF TI-SIB,      1069.00,      1099.00,      1099.00,      1099.00,      1099.00,                     3297.00,3, ,1,      1117.99,      1012.81
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1138.59,      1138.58,      1138.58,      1135.25,      1137.52,                  1650021.30,1450, ,8,      1227.50,      1133.05
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       960.00,       960.00,       960.00,       960.00,       960.00,                    10560.00,11, ,1,      1025.00,       815.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1203.38,      1203.38,      1203.38,      1203.38,      1203.38,                     1203.38,1, ,1,      1274.00,      1137.10
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1198.00,      1196.00,      1202.00,      1196.00,      1202.00,                  4199541.10,3503, ,13,      1211.00,      1090.00
N,NA,PCHFL,SEC RE NCD 9% SR.V,      1008.10,      1023.00,      1023.00,      1015.00,      1015.00,                   204023.00,201, ,2,      1088.00,       975.10
N,NA,TATACAP,UNSERENCD9.1%SRIIICIII&IV,      1053.01,      1053.01,      1055.80,      1052.00,      1055.80,                   363196.59,345, ,9,      1062.90,      1035.00
N,NA,TATACAPHSG,SEC RED NCD 8.40% SR.V,      1019.00,      1020.00,      1028.99,      1020.00,      1028.99,                    20444.95,20, ,2,      1136.51,      1002.00
N,NB,CHOLAFIN,SEC RE NCD SR 6,      1000.00,      1000.00,      1000.00,      1000.00,      1000.00,                   644000.00,644, ,2,      1004.50,       975.00
N,NB,IBUCCREDIT,SERENCD8.84%SRVICIII&IV,       920.10,       921.00,       940.00,       851.00,       851.00,                    36861.00,40, ,4,      1050.00,       750.00
N,NB,NTPC,TFB 7.36% 2025 SR. 1B,      1030.00,      1036.21,      1036.21,      1036.21,      1036.21,                    16579.36,16, ,1,      1129.90,      1030.00
N,NC,CHOLAFIN,SEC RE NCD 8.40% SR 1,      1000.00,       979.87,       979.87,       979.87,       979.87,                     9798.70,10, ,1,      1000.00,       972.75
N,NC,IIFL,UNSEC RED NCD 10.00% SR.V,      1013.99,      1000.10,      1012.00,      1000.00,      1000.00,                   237116.77,237, ,10,      1030.00,       971.60
N,NC,IIHFL,SEC RE NCD 8.43% SR.VI,       912.25,       924.00,       924.00,       924.00,       924.00,                    14784.00,16, ,1,       981.00,       900.00
N,NC,NHAI,TAX FREE 7.29% SR. IB,      1054.00,      1054.00,      1054.00,      1054.00,      1054.00,                    11594.00,11, ,2,      1124.00,      1025.00
