MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,NEXT50,MIRAEAMC - MANXT50,       549.07,       546.00,       547.68,       535.86,       544.83,                   924095.42,1698,70,       557.70,       372.00,NIFTY NEXT 50
N,EQ,NEXT50IETF,ICICIPRAMC - ICICINXT50,        56.34,        56.65,        57.70,        54.70,        55.95,                 20083054.84,361501,1482,        58.60,        37.10,NIFTY NEXT 50 ETF
N,EQ,NIF100BEES,NIP IND ETF NIFTY 100,       228.52,       234.70,       234.70,       224.50,       227.29,                  5816943.13,25641,733,       241.65,       171.00,NIFTY 100
N,EQ,NIF100IETF,ICICI PRUD NIFTY 100 ETF,       240.12,       240.11,       240.11,       236.00,       238.63,                  4954440.31,20793,476,       247.55,       181.90,NIFTY 100
N,EQ,NIFMID150,UTIAMC - NIFMID150,       174.26,       171.80,       175.00,       169.42,       174.94,                   328514.02,1916,57,       195.00,       141.57,NIFTY MIDCAP 150
N,EQ,NIFTYBEES,NIP IND ETF NIFTY BEES,       238.38,       237.99,       238.21,       233.30,       237.51,               1462884482.69,6170369,51698,       247.35,       184.51,NIFTY 50
N,EQ,NIFTYETF,MIRAEAMC - MAN50ETF,       227.86,       227.55,       229.34,       224.80,       227.06,                101783559.64,448795,1155,       238.00,       176.06,NIFTY 50
N,EQ,NIFTYIETF,ICICI PRUD NIFTY ETF,       237.15,       238.15,       238.15,       234.15,       236.17,                 60608238.04,256870,4718,       250.15,       179.20,NIFTY50
N,EQ,NIFTYQLITY,BIRLASLAMC - NIFTYQLITY,        18.82,        18.82,        20.00,        18.37,        18.75,                   867881.17,46477,504,        20.50,        13.41,NIFTY 200 QUALITY 30
N,EQ,NPBET,TATAAML - NPBET,       245.28,       249.11,       249.11,       240.80,       241.64,                   786913.01,3249,101,       267.00,       199.54,NIFTY PRIVATE BANK INDEX
N,EQ,NV20BEES,NIP IND ETF ETF NV20,       133.51,       133.11,       133.50,       131.66,       133.19,                  3253823.81,24488,228,       137.85,        99.35,NIFTY50 VALUE 20
N,EQ,NV20IETF,ICICI PRUDENTIAL NV20 ETF,       130.00,       126.10,       132.55,       126.10,       129.70,                 11505602.91,89122,867,       135.65,        95.30,NIFTY50 VALUE 20
N,EQ,PHARMABEES,NIPPONAMC - NETFPHARMA,        17.44,        17.57,        17.66,        17.06,        17.61,                 84879482.01,4871219,10817,        18.45,        11.56,NIFTY PHARMA INDEX
N,EQ,PSUBNKBEES,NIP IND ETF PSU BANK BEES,        64.74,        64.73,        65.26,        63.45,        65.14,                288442543.07,4458767,7469,        66.60,        39.10,NIFTY PSU BANK INDEX
N,EQ,PSUBNKIETF,ICICIPRAMC - PSUBANKICI,        58.54,        59.75,        59.75,        56.00,        58.96,                 28357497.29,484643,1186,        60.74,        35.34,NIFTY PSU BANK INDEX
N,EQ,PVTBANIETF,ICICIPRAMC - ICICIBANKP,       237.82,       239.97,       239.97,       234.08,       235.02,                 53642792.27,227367,851,       251.10,       194.26,NIFTY PRIVATE BANK INDEX
N,EQ,QGOLDHALF,QUANTUM GOLD FUND,        52.48,        52.18,        52.42,        52.12,        52.26,                   405097.98,7750,196,        54.59,        43.65,GOLD
N,EQ,QNIFTY,QUANTUM NIFTY 50 ETF,      2309.74,      2295.99,      2302.62,      2280.00,      2299.75,                  6887289.55,2996,81,      2370.00,      1773.80,NIFTY 50
N,EQ,QUAL30IETF,ICICIPRAMC - ICICIQTY30,       186.89,       185.52,       185.54,       182.50,       185.37,                  9526726.82,51609,44,       189.05,       156.80,NIFTY200 QUALITY 30 INDEX
N,EQ,SBIETFCON,SBIAMC - SBIETFCON,        97.30,        97.30,        97.46,        95.72,        96.71,                   204666.34,2121,111,       100.00,        70.45,NIFTY INDIA CONSUMPTION INDEX
N,EQ,SBIETFIT,SBIAMC - SBIETFIT,       389.52,       389.52,       389.52,       381.36,       387.23,                  3616289.79,9376,248,       399.95,       276.25,NIFTY IT INDEX
N,EQ,SBIETFPB,SBIAMC - SBIETFPB,       240.39,       240.40,       244.39,       236.48,       238.68,                 11636845.83,48898,197,       256.05,       197.00,NIFTY PRIVATE BANK INDEX
N,EQ,SBIETFQLTY,SBIAMC - SBIETFQLTY,       197.18,       196.41,       196.41,       193.00,       195.67,                   563421.77,2900,86,       203.15,       142.85,NIFTY 200 QUALITY 30 INDEX
N,EQ,SDL24BEES,NIPPON INDIA- NIMFXX,       118.44,       118.44,       118.47,       118.26,       118.47,                   294983.68,2492,26,       121.05,       110.45,NIFTY CPSE BOND PLUS SDL SEP 2024 50:50 INDEX
