MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,GOLDIETF,ICICI PRUDENTIAL GOLD ETF,        54.33,        54.13,        54.25,        53.86,        54.20,                821361548.94,15157468,4408,        57.30,        47.05,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,        52.90,        52.70,        52.90,        52.45,        52.85,                  2597245.55,49280,1110,        55.45,        45.80,GOLD
N,EQ,GSEC10IETF,ICICIPRAMC - ICICI10GS,       223.70,       223.50,       223.80,       223.50,       223.80,                    80909.70,362,5,       226.34,       206.90,NIFTY 10 YR BENCHMARK G-SEC INDEX
N,EQ,GSEC10YEAR,MIRAEAMC - MAGS813ETF,        24.67,        25.19,        25.25,        24.71,        25.25,                      932.67,37,8,        29.00,        19.33,NIFTY 8-13 YR G-SEC INDEX
N,EQ,GSEC5IETF,ICICIPRAMC - ICICI5GSEC,        54.76,        54.76,        55.00,        54.50,        54.50,                    41619.50,763,21,        62.95,        50.30,NIFTY 5 YR BENCHMARK G-SEC INDEX
N,EQ,HDFCBSE500,HDFCAMC - HDFCBSE500,        31.04,        31.62,        32.03,        30.36,        30.98,                  1441596.33,46697,407,        34.00,        22.35,S&P BSE 500 INDEX
N,EQ,HDFCGOLD,HDFC GOLD ETF,        54.26,        54.18,        54.24,        53.81,        54.16,                 24404256.41,451069,2139,        57.25,        48.44,GOLD
N,EQ,HDFCGROWTH,HDFCAMC - HDFCGROWTH,       111.28,       110.80,       111.09,       109.77,       110.85,                   181658.35,1641,44,       112.10,        83.30,NIFTY GROWTH SECTORS 15 INDEX (TRI)
N,EQ,HDFCLIQUID,HDFCAMC - HDFCLIQUID,      1000.00,       999.99,      1000.01,       999.99,      1000.01,                  3257969.41,3258,8,      1020.00,       980.00,NIFTY 1D RATE INDEX
N,EQ,HDFCLOWVOL,HDFCAMC - HDFCLOWVOL,        17.39,        17.39,        17.39,        17.10,        17.26,                   214918.11,12482,154,       179.47,        13.00,NIFTY100 LOW VOLATILITY 30 INDEX (TRI)
N,EQ,HDFCMID150,HDFCAMC - HDFCMID150,        17.46,        17.11,        18.05,        17.00,        17.48,                  8027816.40,459726,2328,       168.00,        14.17,NIFTY MIDCAP 150 INDEX
N,EQ,HDFCMOMENT,HDFCAMC - HDFCMOMENT,        28.08,        28.35,        28.50,        27.05,        27.85,                  2111486.76,76591,659,       255.00,        21.75,NIFTY200 MOMENTUM 30 INDEX (TRI)
N,EQ,HDFCNEXT50,HDFCAMC - HDFCNEXT50,        54.61,        54.61,        54.61,        53.02,        54.31,                   829246.47,15291,168,       522.32,        42.90,NIFTY NEXT 50 INDEX
N,EQ,HDFCNIF100,HDFCAMC - HDFCNIF100,        22.12,        22.12,        22.12,        21.33,        22.05,                   473895.63,21532,256,       220.70,        18.91,NIFTY 100 INDEX
N,EQ,HDFCNIFBAN,HDFCAMC - HDFCNIFBAN,       467.38,       467.00,       476.75,       459.57,       463.83,                 22481294.67,48517,325,       555.00,       389.25,NIFTY BANK INDEX
N,EQ,HDFCNIFIT,HDFCAMC - HDFCNIFIT,       374.68,       370.00,       374.08,       366.86,       373.26,                  2334689.66,6311,113,       385.97,       262.75,HDFC NIFTY IT ETF - GROWTH OPTION
N,EQ,HDFCNIFTY,HDFCAMC - HDFCNIFTY,       236.17,       234.99,       235.73,       233.10,       234.98,                 17567357.08,74870,704,       245.40,       176.01,NIFTY
N,EQ,HDFCPVTBAN,HDFCAMC - HDFCPVTBAN,       240.54,       240.53,       240.53,       236.23,       237.26,                  3952456.38,16643,442,       278.00,       197.00,NIFTY PRIVATE BANK INDEX
N,EQ,HDFCQUAL,HDFCAMC - HDFCQUAL,        50.98,        52.51,        52.51,        49.71,        50.47,                   592419.30,11798,116,        52.51,        37.06,NIFTY100 QUALITY 30 INDEX
N,EQ,HDFCSENSEX,HDFCAMC - HDFCSENSEX,       790.24,       780.02,       794.23,       774.45,       784.52,                  3935199.50,5020,239,       818.25,       622.00,SENSEX
N,EQ,HDFCSILVER,HDFCAMC - HDFCSILVER,        70.11,        70.04,        70.15,        69.70,        69.99,                 21144079.99,302191,758,        77.15,        60.89,SILVER
N,EQ,HDFCSML250,HDFCAMC - HDFCSML250,       144.71,       146.80,       146.80,       141.00,       144.34,                 36989906.41,257544,4054,       147.44,        85.00,NIFTY SMALLCAP 250 INDEX
N,EQ,HDFCVALUE,HDFCAMC - HDFCVALUE,       120.17,       122.40,       122.40,       118.00,       119.44,                   542887.75,4552,84,       126.80,        88.90,NIFTY50 VALUE 20 INDEX (TRI)
N,EQ,HEALTHIETF,ICICIPRAMC - ICICIPHARM,       110.22,       110.16,       111.32,       108.02,       110.79,                  7440177.76,67916,284,       114.85,        73.81,NIFTY HEALTHCARE INDEX
N,EQ,HEALTHY,BIRLASLAMC - HEALTHY,        11.01,        11.01,        11.27,        10.73,        11.07,                  2064658.13,188364,1490,        11.42,         6.55,NIFTY HEALTHCARE TRI
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       229.41,       236.30,       236.30,       227.25,       227.44,                 63955420.34,280081,3841,       331.75,       227.25,HANG SENG INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        92.87,        92.85,        93.28,        90.46,        92.54,                127579468.46,1382162,4865,        94.80,        55.53,S&P BSE BHARAT 22 INDEX
N,EQ,IDFNIFTYET,BANDHANAMC - IDFNIFTYET,       235.12,       235.12,       239.70,       230.00,       231.14,                   232861.46,1003,81,       254.96,       176.00,NIFTY 50
N,EQ,INFRABEES,NIP IND ETF INFRA BEES,       782.26,       782.00,       785.02,       770.53,       781.54,                  7471331.00,9586,631,       799.98,       514.80,NIFTY INFRA
N,EQ,INFRAIETF,ICICIPRAMC - ICICIINFRA,        77.05,        77.50,        77.50,        75.67,        77.13,                  7972331.58,103748,700,        81.00,        50.40,NIFTY INFRASTRUCTURE INDEX
N,EQ,ITBEES,NIP IND ETF IT,        38.98,        38.95,        39.16,        38.12,        38.76,                204124437.06,5298842,20714,        40.00,        27.56,NIFTYIT
N,EQ,ITETF,MIRAEAMC - ITETF,        37.18,        37.76,        37.76,        36.16,        37.06,                  1364276.82,37155,298,        40.00,        30.40,NIFTY IT TOTAL RETURN INDEX
N,EQ,ITIETF,ICICIPRAMC - ICICITECH,        38.93,        39.18,        39.18,        38.10,        38.73,                 24279835.16,630573,1537,        39.96,        27.25,NIFTY IT INDEX
N,EQ,IVZINGOLD,INVESCO INDIA GOLD ETF,      5512.00,      5401.80,      5536.95,      5401.80,      5495.00,                    82176.50,15,15,      5714.50,      4883.00,GOLD
N,EQ,IVZINNIFTY,INVESCO INDIA NIFTY ETF,      2422.05,      2405.20,      2405.20,      2387.80,      2387.80,                    81202.60,34,2,      2465.18,      1860.95,NIFTY
N,EQ,JUNIORBEES,NIP IND ETF JUNIOR BEES,       576.16,       592.15,       592.15,       561.00,       573.57,                 80601906.72,141337,7213,       599.95,       384.60,NIFTY NEXT 50
N,EQ,KOTAKALPHA,KOTAKMAMC - KOTAKALPHA,        42.59,        42.94,        42.94,        41.41,        42.64,                  6199985.86,146597,1274,        43.10,        24.19,NIFTY ALPHA 50 INDEX
N,EQ,KOTAKBKETF,KOTAKMAMC-KOTAKBKETF,       472.21,       471.99,       472.20,       463.63,       467.66,                130259898.79,278765,6627,       498.30,       392.32,NIFTY BANK
N,EQ,KOTAKCONS,KOTAKMAMC - KOTAKCONS,        96.75,        96.44,        96.44,        94.92,        95.96,                    46608.89,488,68,       100.20,        69.42,NIFTY INDIA CONSUMPTION INDEX
N,EQ,KOTAKGOLD,KOTAK GOLD ETF,        52.95,        52.73,        52.79,        52.56,        52.61,                 21703127.93,412385,1750,        55.20,        47.01,GOLD
N,EQ,KOTAKIT,KOTAKMAMC - KOTAKIT,        38.82,        39.37,        39.37,        37.91,        38.70,                  2711992.35,70689,507,        39.94,        27.45,NIFTY IT
N,EQ,KOTAKLIQ,KOTAKMAMC - KOTAKLIQ,      1000.00,       999.99,      1000.00,       999.99,       999.99,                   919993.10,920,6,      1004.00,       999.00,NIFTY 1D RATE INDEX
N,EQ,KOTAKLOVOL,KOTAKMAMC - KOTAKLOVOL,        17.74,        17.74,        18.55,        17.39,        17.83,                  2541853.73,144486,162,        18.55,        12.55,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,KOTAKMID50,KOTAKMAMC - KOTAKMID50,       134.11,       134.10,       135.04,       130.70,       134.19,                  4151897.69,31332,476,       137.68,        82.70,NIFTY MIDCAP 50 INDEX
N,EQ,KOTAKMNC,KOTAKMAMC - KOTAKMNC,        24.05,        24.05,        24.52,        23.75,        24.17,                   176437.47,7358,86,        24.75,        18.72,NIFTY MNC INDEX
N,EQ,KOTAKNIFTY,KOTAK NIFTY ETF,       232.10,       233.75,       234.90,       229.26,       231.57,                 12487818.48,54094,549,       239.80,       179.60,NIFTY 50
N,EQ,KOTAKNV20,KOTAKMAMC - KTKNV20ETF,       132.71,       134.60,       137.20,       131.00,       133.83,                  2565562.56,19255,402,       140.32,        97.80,NIFTY50 VALUE 20
N,EQ,KOTAKPSUBK,KOTAK PSU BANK,       581.08,       577.30,       587.60,       568.57,       586.17,                 26653243.44,46161,591,       596.59,       350.00,NIFTY PSU BANK INDEX
N,EQ,KOTAKSILVE,KOTAKMAMC - KOTAKSILVE,        70.82,        71.20,        71.20,        70.09,        70.86,                  1387496.39,19586,131,        79.00,        60.60,SILVER
N,EQ,LICMFGOLD,LIC MF - LIC GOLD ETF,      5637.10,      5654.50,      5660.00,      5650.00,      5659.90,                   226262.25,40,27,      5976.60,      5000.00,GOLD
N,EQ,LICNETFGSC,LICNAMC - LICNMFET,        24.59,        24.57,        24.88,        24.55,        24.55,                   408245.66,16591,165,        26.75,        22.11,GSEC 10 NSE INDEX
N,EQ,LICNETFN50,LICNAMC - LICNFENGP,       235.62,       240.33,       245.00,       232.62,       240.74,                  1710364.66,7259,115,       245.00,       181.99,NIFTY 50
N,EQ,LICNETFSEN,LICNAMC - LICNFESGP,       787.71,       778.08,       783.57,       775.08,       783.00,                    68853.17,88,14,       826.10,       620.93,SENSEX
N,EQ,LICNFNHGP,LICNAMC - LICNFNHGP,       234.25,       230.00,       236.25,       229.98,       232.01,                  1975027.62,8504,215,       247.70,       178.01,LIC MF EXCHANGE TRADED FUND- NIFTY 100
N,EQ,LIQUID,MIRAEAMC - LIQUID,       999.99,      1000.00,      1000.00,       999.99,       999.99,                 58491556.91,58492,117,      1000.84,       999.00,NIFTY 1D RATE INDEX
