SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
N7,CREDITACC,Sec Re NCD 9.10% Sr I,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
N7,IIFL,IIFL Finance Limited,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
N9,CREDITACC,Sec Re NCD 9.25% Sr III,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
NB,CREDITACC,Sec Re NCD 9.40% Sr V,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
ND,CREDITACC,Sec Re NCD 9.70% Sr VII,23/01/2024, , ,23/01/2024, , ,INTEREST PAYMENT         
NE,IBUCCREDIT,Sec Re NCD 9.80% Sr.I,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
NG,IBULHSG,Sec Re NCD 8.88% Sr II,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NG,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
NH,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
NH,IBUCCREDIT,Sec Re NCD 9.40% Sr.III,18/01/2024, , ,18/01/2024, , ,INTEREST PAYMENT         
NH,IBULHSG,Sec Re NCD 9.25% Sr II,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NI,IBUCCREDIT,Sec Re NCD 10.05% Sr.IV,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NK,IBUCCREDIT,Sec Re NCD 9.61% Sr.VI,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NK,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
NL,INDIGRID,India Grid Trust,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
NL,IBUCCREDIT,Sec Re NCD 9.80% Sr.VII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NM,IBUCCREDIT,Sec Re NCD 10.30% Sr.VII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NM,IBULHSG,Sec Re NCD 9.02% Sr V,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NN,IBULHSG,Sec Re NCD 9.48% Sr V,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NN,IBUCCREDIT,Sec Re NCD 9.40% Sr.VIII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NO,DHANILOANS,Dhani Loans & Serv Ltd,22/01/2024, , ,22/01/2024, , ,INTEREST PAYMENT         
NO,IBUCCREDIT,Sec Re NCD 9.85% Sr.VIII,18/01/2024, , ,18/01/2024, , ,INTPYMNT/PARTREDEMPTION  
NS,IBULHSG,Sec Re NCD 9.25% Sr VIII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NT,IBULHSG,Sec Re NCD 9.71% Sr VIII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NV,IBULHSG,Sec Re NCD 10.03% Sr X,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NY,IBULHSG,Sec Re NCD 9.8% Sr XII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
NZ,IBULHSG,Sec Re NCD 10.25% Sr XII,25/01/2024, , ,25/01/2024, , ,INTEREST PAYMENT         
SG,67RJ24,SDL RJ 6.7% 2024,24/01/2024, , , , , ,REDEMPTION               
SM,MAHICKRA,Mahickra Chemical Limited, ,17/01/2024,24/01/2024,16/01/2024, , ,EGM                      
SM,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,FVSPLT FRM RS 10 TO RE 1 
SM,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,BONUS 2:1                
SM,RBMINFRA,Rbm Infracon Limited, ,18/01/2024,24/01/2024,17/01/2024, , ,EGM                      
SQ,RBMINFRA,Rbm Infracon Limited, ,18/01/2024,24/01/2024,17/01/2024, , ,EGM                      
SQ,ISHAN,Ishan International Ltd,25/01/2024, , ,25/01/2024, , ,FVSPLT FRM RS 10 TO RE 1 
