EQ,IRFC,Indian Railway Finance Corporation Limited,INE053F01010,Financial Institution,info industry NA ,173.8
EQ,BRITANNIA,Britannia Industries Limited,INE216A01030,Packaged Foods,FOOD AND FOOD PROCESSING,5130.15
EQ,PFC,Power Finance Corporation Limited,INE134E01011,Financial Institution,FINANCIAL INSTITUTION,419.75
EQ,INDUSINDBK,IndusInd Bank Limited,INE095A01012,Private Sector Bank,BANKS,1508.35
EQ,TECHM,Tech Mahindra Limited,INE669C01036,Computers - Software & Consulting,COMPUTERS - SOFTWARE,1325
EQ,BANKBARODA,Bank of Baroda,INE028A01039,Public Sector Bank,BANKS,227.2
EQ,ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,Power - Transmission,info industry NA ,1065.5
EQ,GODREJCP,Godrej Consumer Products Limited,INE102D01028,Personal Care,PERSONAL CARE,1166.9
EQ,INDIGO,InterGlobe Aviation Limited,INE646L01027,Airline,TRAVEL AND TRANSPORT,2879.55
EQ,EICHERMOT,Eicher Motors Limited,INE066A01021,2/3 Wheelers,AUTOMOBILES - 4 WHEELERS,3619.3
EQ,RECLTD,REC Limited,INE020B01018,Financial Institution,FINANCIAL INSTITUTION,470
EQ,ATGL,Adani Total Gas Limited,INE399L01023,LPG/CNG/PNG/LNG Supplier,info industry NA ,1003.4
EQ,TRENT,Trent Limited,INE849A01020,Speciality Retail,MISCELLANEOUS,3243
EQ,ZOMATO,Zomato Limited,INE758T01015,E-Retail/ E-Commerce,info industry NA ,135.4
EQ,GAIL,GAIL (India) Limited,INE129A01019,Gas Transmission/Marketing,GAS,165.7
EQ,TATAPOWER,Tata Power Company Limited,INE245A01021,Integrated Power Utilities,POWER,366
EQ,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,Non Banking Financial Company (NBFC),FINANCE,1224
EQ,PNB,Punjab National Bank,INE160A01022,Public Sector Bank,BANKS,105.8
EQ,DIVISLAB,Divi's Laboratories Limited,INE361B01024,Pharmaceuticals,PHARMACEUTICALS,3555
EQ,AMBUJACEM,Ambuja Cements Limited,INE079A01024,Cement & Cement Products,CEMENT AND CEMENT PRODUCTS,565.05
EQ,SHREECEM,SHREE CEMENT LIMITED,INE070A01015,Cement & Cement Products,CEMENT AND CEMENT PRODUCTS,27949.5
EQ,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,Tea & Coffee,info industry NA ,1135
EQ,CIPLA,Cipla Limited,INE059A01026,Pharmaceuticals,PHARMACEUTICALS,1374.8
EQ,ABB,ABB India Limited,INE117A01022,Heavy Electrical Equipment,ELECTRICAL EQUIPMENT,4734.95
EQ,DABUR,Dabur India Limited,INE016A01026,Personal Care,PERSONAL CARE,533
EQ,LODHA,Macrotech Developers Limited,INE670K01029,Residential Commercial Projects,info industry NA ,1057
EQ,BPCL,Bharat Petroleum Corporation Limited,INE029A01011,Refineries & Marketing,REFINERIES,474.4
EQ,DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01023,Pharmaceuticals,PHARMACEUTICALS,5832.7
EQ,TVSMOTOR,TVS Motor Company Limited,INE494B01023,2/3 Wheelers,AUTOMOBILES - 2 AND 3 WHEELERS,1950
EQ,VEDL,Vedanta Limited,INE205A01025,Diversified Metals,MINING,263.85
EQ,UNIONBANK,Union Bank of India,INE692A01016,Public Sector Bank,BANKS,140.5
EQ,HAVELLS,Havells India Limited,INE176B01034,Consumer Electronics,ELECTRICAL EQUIPMENT,1291.2
EQ,BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,Holding Company,FINANCE,8160
EQ,HEROMOTOCO,Hero MotoCorp Limited,INE158A01026,2/3 Wheelers,AUTOMOBILES - 2 AND 3 WHEELERS,4424.5
EQ,POLYCAB,Polycab India Limited,INE455K01017,Cables - Electricals,info industry NA ,4352
EQ,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,Hospital,MISCELLANEOUS,6198.8
EQ,IOB,Indian Overseas Bank,INE565A01014,Public Sector Bank,BANKS,45.75
EQ,MCDOWELL-N,United Spirits Limited,INE854D01024,Breweries & Distilleries,BREW/DISTILLERIES,1098
EQ,MANKIND,Mankind Pharma Limited,INE634S01028,Pharmaceuticals,info industry NA ,2030
EQ,CANBK,Canara Bank,INE476A01014,Public Sector Bank,BANKS,466.25
EQ,TORNTPHARM,Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals,PHARMACEUTICALS,2475
EQ,IDEA,Vodafone Idea Limited,INE669E01016,Telecom - Cellular & Fixed line services,TELECOMMUNICATION - SERVICES,14.8
EQ,SHRIRAMFIN,Shriram Finance Limited,INE721A01013,Non Banking Financial Company (NBFC),info industry NA ,2318
EQ,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,INE726G01019,Life Insurance,info industry NA ,486.75
EQ,JINDALSTEL,Jindal Steel & Power Limited,INE749A01030,Iron & Steel,STEEL AND STEEL PRODUCTS,718
EQ,SRF,SRF Limited,INE647A01010,Specialty Chemicals,TEXTILES - SYNTHETIC,2268.95
EQ,IDBI,IDBI Bank Limited,INE008A01015,Private Sector Bank,BANKS,83.4
EQ,SBICARD,SBI Cards and Payment Services Limited,INE018E01016,Non Banking Financial Company (NBFC),info industry NA ,761
EQ,IRCTC,Indian Railway Catering And Tourism Corporation Limited,INE335Y01020,Tour Travel Related Services,info industry NA ,970.6
EQ,MARICO,Marico Limited,INE196A01026,Edible Oil,PERSONAL CARE,525.55
EQ,BERGEPAINT,Berger Paints (I) Limited,INE463A01038,Paints,PAINTS,554.8
EQ,ICICIGI,ICICI Lombard General Insurance Company Limited,INE765G01017,General Insurance,info industry NA ,1489.75
EQ,ZYDUSLIFE,Zydus Lifesciences Limited,INE010B01027,Pharmaceuticals,info industry NA ,736.5
EQ,CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,Heavy Electrical Equipment,info industry NA ,462
EQ,MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,Auto Components & Equipments,info industry NA ,115.25
EQ,COLPAL,Colgate Palmolive (India) Limited,INE259A01022,Personal Care,PERSONAL CARE,2498
EQ,TIINDIA,Tube Investments of India Limited,INE974X01010,Auto Components & Equipments,info industry NA ,3940
