2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0006289.63,0006289.63,0006289.99,0006230.00,0006270.08,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0006289.49,0006205.01,0006280.00,0006205.01,0006263.05,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2028SR-X        ,SGBMAR28X ,GB,N,0006250.02,0006269.99,0006270.00,0006260.00,0006260.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-IV       ,SGBJUL29IV,GB,N,0006315.37,0006303.00,0006303.00,0006270.00,0006279.98,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-IX       ,SGBJAN29IX,GB,N,0006278.74,0006290.00,0006298.00,0006250.00,0006279.91,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-V        ,SGBAUG29V ,GB,N,0006369.78,0006330.00,0006358.85,0006295.00,0006298.12,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-VIII     ,SGBD29VIII,GB,N,0006291.42,0006232.00,0006349.00,0006232.00,0006261.87,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-X        ,SGBJAN29X ,GB,N,0006331.11,0006319.00,0006319.00,0006249.00,0006275.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-XI       ,SGBFEB29XI,GB,N,0006280.01,0006291.00,0006291.00,0006250.04,0006264.80,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2029SR-XII      ,SGBMR29XII,GB,N,0006263.18,0006260.00,0006270.00,0006235.10,0006243.64,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2030SR-I        ,SGBJUN30  ,GB,N,0006293.33,0006293.33,0006330.00,0006211.00,0006229.09,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2030SR-II       ,SGBAUG30  ,GB,N,0006360.89,0006350.00,0006430.00,0006335.00,0006350.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2030SR-III      ,SGBDE30III,GB,N,0006294.23,0006305.00,0006345.00,0006290.00,0006303.38,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2030SR-IX       ,SGBJAN30IX,GB,N,0006250.31,0006250.00,0006280.00,0006238.00,0006265.50,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2030SR-X        ,SGBMAR30X ,GB,N,0006310.00,0006251.00,0006389.90,0006251.00,0006256.64,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2031SR-I        ,SGBJUN31I ,GB,N,0006294.06,0006297.00,0006309.00,0006275.00,0006297.96,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2031SR-II       ,SGBSEP31II,GB,N,0006297.03,0006297.03,0006320.00,0006280.00,0006318.81,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.50%GOLDBONDS2031SR-IV       ,SGBMAR31IV,GB,N,0006335.00,0006310.00,0006319.99,0006271.01,0006301.49,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.75% GOLDBONDS2024TR-IV      ,SGBAUG24  ,GB,N,0006280.00,0006235.70,0006300.00,0006235.70,0006280.68,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.75% GOLDBONDS2024TR-V       ,SGBSEP24  ,GB,N,0006260.00,0006275.00,0006275.00,0006240.00,0006266.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.75%GOLDBONDS2024 TR-II      ,SGBFEB24  ,GB,N,0006257.99,0006258.00,0006275.00,0006258.00,0006274.99,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
2.75%GOLDBONDS2024 TR-III     ,SGBMAR24  ,GB,N,0006246.47,0006279.99,0006279.99,0006279.00,0006279.00,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
20 MICRONS LTD                ,20MICRONS ,EQ,N,0000169.70,0000170.90,0000171.90,0000164.30,0000169.35,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
21ST CENTURY MGMT SERVICE     ,21STCENMGM,BE,N,0000036.15,0000036.85,0000036.85,0000035.50,0000036.85,    ,              ,                  ,0000000.00,0000000.00,18-JAN-2024,        
